year,resource,variable,units,magnitude,source,data_value,flag
2010,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2010,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,133713,R
2010,Wood,Other changes,Dollars,Thousands,Environmental Accounts,13801,R
2010,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,8851,R
2011,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,82598,R
2011,Biogas,Generation,Gigawatt hours,Actual,MBIE,215,F
2011,Biogas,Gigawatt hours,Number,Proportion,MBIE,0,F
2011,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,91103,R
2011,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-8505,R
2011,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,4956,R
2011,Coal,Generation,Gigawatt hours,Actual,MBIE,1635,F
2011,Gas,Generation,Gigawatt hours,Actual,MBIE,8853,R
2011,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,2215070,R
2011,Geothermal,Generation,Gigawatt hours,Actual,MBIE,5772,R
2011,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.13,F
2011,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1929148,R
2011,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,285922,R
2011,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,132904,R
2011,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9568100,R
2011,Hydro,Generation,Gigawatt hours,Actual,MBIE,24931,R
2011,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.57,F
2011,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9991724,R
2011,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-423625,R
2011,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,574086,R
2011,Oil,Generation,Gigawatt hours,Actual,MBIE,1,F
2011,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,12624306,R
2011,Renewable,Generation,Gigawatt hours,Actual,MBIE,32895,R
2011,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.76,F
2011,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,12811765,R
2011,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,-187459,R
2011,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,757458,R
2011,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.76,F
2011,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1483,R
2011,Solar,Generation,Gigawatt hours,Actual,MBIE,4,F
2011,Solar,Gigawatt hours,Number,Proportion,MBIE,0,F
2011,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,1492,R
2011,Solar,Other changes,Dollars,Thousands,Environmental Accounts,-9,R
