Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS03G04703,2009.06,137,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04703,2010.06,148,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04703,2011.06,-3,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04703,2012.06,-94,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04703,2013.06,-53,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04703,2014.06,-3,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04703,2015.06,126,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04703,2016.06,224,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04703,2017.06,102,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04703,2018.06,47,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04703,2019.06,406,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Public order and safety,,,,
GFSA.SCS03G04704,2009.06,860,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04704,2010.06,862,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04704,2011.06,872,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04704,2012.06,668,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04704,2013.06,607,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04704,2014.06,901,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04704,2015.06,1199,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04704,2016.06,1177,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04704,2017.06,1307,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04704,2018.06,2306,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04704,2019.06,1798,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Economic affairs,,,,
GFSA.SCS03G04705,2009.06,-1,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04705,2010.06,77,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04705,2011.06,21,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04705,2012.06,38,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04705,2013.06,-7,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04705,2014.06,5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04705,2015.06,-13,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04705,2016.06,-34,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04705,2017.06,-54,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04705,2018.06,37,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04705,2019.06,39,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Environmental protection,,,,
GFSA.SCS03G04706,2009.06,1,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04706,2010.06,2,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04706,2011.06,-1,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04706,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04706,2013.06,117,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04706,2014.06,306,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04706,2015.06,126,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04706,2016.06,245,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04706,2017.06,128,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04706,2018.06,78,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04706,2019.06,359,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Housing and community amenities,,,,
GFSA.SCS03G04707,2009.06,427,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04707,2010.06,148,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04707,2011.06,-1,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04707,2012.06,223,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04707,2013.06,215,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04707,2014.06,81,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04707,2015.06,55,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04707,2016.06,220,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04707,2017.06,268,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04707,2018.06,202,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04707,2019.06,17,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Health,,,,
GFSA.SCS03G04708,2009.06,9,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04708,2010.06,-30,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04708,2011.06,-38,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04708,2012.06,-42,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04708,2013.06,-36,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04708,2014.06,-29,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04708,2015.06,-24,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04708,2016.06,-5,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04708,2017.06,56,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04708,2018.06,0,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04708,2019.06,-15,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset","Recreation, culture, and religion",,,,
GFSA.SCS03G04709,2009.06,188,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04709,2010.06,181,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04709,2011.06,165,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04709,2012.06,8,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04709,2013.06,-166,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04709,2014.06,17,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04709,2015.06,297,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04709,2016.06,389,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04709,2017.06,324,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04709,2018.06,148,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04709,2019.06,529,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Education,,,,
GFSA.SCS03G04710,2009.06,129,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,,
GFSA.SCS03G04710,2010.06,8,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,,
GFSA.SCS03G04710,2011.06,-10,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,,
GFSA.SCS03G04710,2012.06,-134,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,,
GFSA.SCS03G04710,2013.06,81,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,,
GFSA.SCS03G04710,2014.06,62,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,,
GFSA.SCS03G04710,2015.06,-17,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,,
GFSA.SCS03G04710,2016.06,-19,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,,
GFSA.SCS03G04710,2017.06,25,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,,
GFSA.SCS03G04710,2018.06,-2,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Social protection,,,,
