Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SGS01G02144,2014.06,2617,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2015.06,2756,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2016.06,2578,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2017.06,2498,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2018.06,2468,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2019.06,2337,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02981,2009.06,172,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2010.06,164,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2011.06,174,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2012.06,174,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2013.06,185,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2014.06,214,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2015.06,238,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2016.06,285,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2017.06,253,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2018.06,289,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02981,2019.06,315,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Current grants,,,,
GFSA.SGS01G02982,2009.06,1815,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2010.06,1993,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2011.06,6285,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2012.06,2430,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2013.06,2208,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2014.06,2163,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2015.06,1964,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2016.06,1815,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2017.06,1918,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2018.06,2131,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02982,2019.06,2263,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other current transfers,,,,
GFSA.SGS01G02991,2009.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
GFSA.SGS01G02991,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Capital grants,,,,
